EventDate,ChartDate,n,mean_pred,loCI,upCI
2020-05-14,2020-09-05,46,NA,NA,NA
2020-05-15,2020-09-05,35,NA,NA,NA
2020-05-16,2020-09-05,36,NA,NA,NA
2020-05-17,2020-09-05,41,NA,NA,NA
2020-05-18,2020-09-05,23,NA,NA,NA
2020-05-19,2020-09-05,37,NA,NA,NA
2020-05-20,2020-09-05,39,NA,NA,NA
2020-05-21,2020-09-05,38,NA,NA,NA
2020-05-22,2020-09-05,35,NA,NA,NA
2020-05-23,2020-09-05,41,NA,NA,NA
2020-05-24,2020-09-05,36,NA,NA,NA
2020-05-25,2020-09-05,36,NA,NA,NA
2020-05-26,2020-09-05,24,NA,NA,NA
2020-05-27,2020-09-05,39,NA,NA,NA
2020-05-28,2020-09-05,40,NA,NA,NA
2020-05-29,2020-09-05,28,NA,NA,NA
2020-05-30,2020-09-05,37,NA,NA,NA
2020-05-31,2020-09-05,35,NA,NA,NA
2020-06-01,2020-09-05,31,NA,NA,NA
2020-06-02,2020-09-05,41,NA,NA,NA
2020-06-03,2020-09-05,38,NA,NA,NA
2020-06-04,2020-09-05,26,NA,NA,NA
2020-06-05,2020-09-05,31,NA,NA,NA
2020-06-06,2020-09-05,32,NA,NA,NA
2020-06-07,2020-09-05,30,NA,NA,NA
2020-06-08,2020-09-05,24,NA,NA,NA
2020-06-09,2020-09-05,33,NA,NA,NA
2020-06-10,2020-09-05,27,NA,NA,NA
2020-06-11,2020-09-05,30,NA,NA,NA
2020-06-12,2020-09-05,37,NA,NA,NA
2020-06-13,2020-09-05,25,NA,NA,NA
2020-06-14,2020-09-05,33,NA,NA,NA
2020-06-15,2020-09-05,29,NA,NA,NA
2020-06-16,2020-09-05,45,NA,NA,NA
2020-06-17,2020-09-05,32,NA,NA,NA
2020-06-18,2020-09-05,30,NA,NA,NA
2020-06-19,2020-09-05,24,NA,NA,NA
2020-06-20,2020-09-05,38,NA,NA,NA
2020-06-21,2020-09-05,36,NA,NA,NA
2020-06-22,2020-09-05,51,NA,NA,NA
2020-06-23,2020-09-05,59,NA,NA,NA
2020-06-24,2020-09-05,40,NA,NA,NA
2020-06-25,2020-09-05,54,NA,NA,NA
2020-06-26,2020-09-05,45,NA,NA,NA
2020-06-27,2020-09-05,52,NA,NA,NA
2020-06-28,2020-09-05,50,NA,NA,NA
2020-06-29,2020-09-05,47,NA,NA,NA
2020-06-30,2020-09-05,53,NA,NA,NA
2020-07-01,2020-09-05,69,NA,NA,NA
